location,year,male,female
FIN,2011,77.3,83.8
FIN,2012,77.7,83.7
FIN,2013,78.0,84.1
FIN,2014,78.4,84.1
FIN,2015,78.7,84.4
FRA,1960,67.0,73.6
FRA,1961,67.5,74.4
FRA,1962,67.0,73.9
FRA,1963,66.8,74.1
FRA,1964,67.7,75.1
FRA,1965,67.5,75.0
FRA,1966,67.8,75.2
FRA,1967,67.8,75.2
FRA,1968,67.8,75.2
FRA,1969,67.4,75.1
FRA,1970,68.4,75.9
FRA,1971,68.3,75.9
FRA,1972,68.5,76.2
FRA,1973,68.7,76.3
FRA,1974,68.9,76.7
FRA,1975,69.0,76.9
FRA,1976,69.2,77.2
FRA,1977,69.7,77.8
FRA,1978,69.8,77.9
FRA,1979,70.1,78.3
FRA,1980,70.2,78.4
FRA,1981,70.4,78.5
FRA,1982,70.7,78.9
FRA,1983,70.7,78.8
FRA,1984,71.2,79.3
FRA,1985,71.3,79.4
FRA,1986,71.6,79.8
FRA,1987,72.1,80.5
FRA,1988,72.4,80.7
FRA,1989,72.5,80.9
FRA,1990,72.8,81.2
FRA,1991,73.0,81.4
FRA,1992,73.3,81.7
FRA,1993,73.4,81.7
FRA,1994,73.8,82.2
FRA,1995,73.9,82.2
FRA,1996,74.2,82.3
FRA,1997,74.6,82.6
FRA,1998,74.9,82.7
FRA,1999,75.1,82.7
FRA,2000,75.4,83.0
FRA,2001,75.5,83.0
FRA,2002,75.8,83.0
FRA,2003,75.8,82.8
FRA,2004,76.7,83.9
FRA,2005,76.8,83.9
FRA,2006,77.4,84.5
FRA,2007,77.6,84.8
FRA,2008,77.9,84.8
FRA,2009,78.0,85.0
FRA,2010,78.3,85.3
FRA,2011,78.8,85.7
FRA,2012,78.7,85.4
FRA,2013,79.0,85.6
FRA,2014,79.5,86.0
FRA,2015,79.2,85.5
GBR,1960,67.9,73.7
GBR,1961,67.8,73.6
GBR,1970,68.7,75.0
GBR,1971,68.8,75.0
GBR,1980,70.2,76.2
GBR,1981,70.8,76.8
GBR,1982,71.1,77.0
GBR,1983,71.3,77.3
GBR,1984,71.6,77.4
GBR,1985,71.7,77.6
GBR,1986,71.9,77.7
GBR,1987,72.3,78.0
GBR,1988,72.4,78.1
GBR,1989,72.6,78.1
GBR,1990,72.9,78.5
GBR,1991,73.1,78.7
GBR,1992,73.6,79.0
GBR,1993,73.5,78.9
GBR,1994,74.1,79.5
GBR,1995,74.0,79.3
GBR,1996,74.3,79.5
GBR,1997,74.6,79.7
GBR,1998,74.8,79.8
GBR,1999,75.0,79.9
GBR,2000,75.5,80.3
GBR,2001,75.8,80.5
GBR,2002,76.0,80.6
GBR,2003,76.2,80.5
GBR,2004,76.8,81.1
GBR,2005,77.0,81.3
GBR,2006,77.3,81.6
GBR,2007,77.6,81.8
GBR,2008,77.7,81.8
GBR,2009,78.3,82.4
GBR,2010,78.6,82.6
GBR,2011,79.0,83.0
GBR,2012,79.1,82.8
GBR,2013,79.2,82.9
GBR,2014,79.5,83.2
GBR,2015,79.2,82.8
GRC,1961,70.2,73.8
GRC,1962,69.9,73.4
GRC,1963,70.2,73.7
GRC,1964,69.9,73.8
GRC,1965,70.5,74.3
GRC,1966,70.5,74.7
GRC,1967,70.4,74.2
GRC,1968,70.6,74.2
GRC,1969,71.0,75.0
GRC,1970,71.6,76.0
GRC,1971,72.2,76.2
GRC,1972,71.7,75.9
GRC,1973,72.0,76.2
GRC,1974,72.4,76.8
GRC,1975,72.2,76.7
GRC,1976,72.3,76.7
